epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,run
1,2.9974943869041675,3.000311428850347,0.24391408114558472,0.2525925925925926,0.17701500376050547,0.1679834543045539,exp3_chroma_baseline
2,2.649081321677776,2.6845102418552744,0.34463007159904535,0.3674074074074074,0.26291097061644764,0.2621852247065879,exp3_chroma_baseline
3,2.3277565252901327,2.393781293522228,0.3891805887032617,0.3562962962962963,0.3358234307447245,0.2853277350608663,exp3_chroma_baseline
4,2.1306057614509504,2.251432093706998,0.3937947494033413,0.37555555555555553,0.3456643139119912,0.32152315539887116,exp3_chroma_baseline
5,2.0249463825514824,2.147432863712311,0.3926809864757359,0.36814814814814817,0.3644779761562331,0.33313612496526707,exp3_chroma_baseline
6,1.9448540584005491,2.0959412076256494,0.4163882259347653,0.40814814814814815,0.39104417435242783,0.3628406242601881,exp3_chroma_baseline
7,1.9076650937398274,2.055955854329196,0.42179793158313444,0.4177777777777778,0.38977451497605925,0.3459802076508525,exp3_chroma_baseline
8,1.8488336199461812,2.0111055699261753,0.40350039777247415,0.38222222222222224,0.3925803494637255,0.36562067738477655,exp3_chroma_baseline
9,1.8435933180529662,2.025681040503762,0.43595863166268894,0.42518518518518517,0.4093443890880856,0.36998552216414654,exp3_chroma_baseline
10,1.825652332016916,2.0508181669495325,0.4066825775656325,0.39555555555555555,0.39133975300374074,0.3658467749534633,exp3_chroma_baseline
11,1.8033938913634329,2.039474752816287,0.42179793158313444,0.3985185185185185,0.39583573197308963,0.35541993682691086,exp3_chroma_baseline
12,1.7782880573561697,1.9893667914650657,0.43866348448687353,0.4288888888888889,0.4221418149187617,0.38791056103345684,exp3_chroma_baseline
13,1.7616487572891544,2.0222310532223093,0.445346062052506,0.42,0.42414648882950196,0.37334567058264717,exp3_chroma_baseline
14,1.7558052274915907,1.984892189502716,0.4394590294351631,0.41555555555555557,0.418775796484796,0.38509663830905216,exp3_chroma_baseline
15,1.7807492451234297,2.0718584765087473,0.44359586316626887,0.41259259259259257,0.42164459595046155,0.3632754006201189,exp3_chroma_baseline
16,1.7348840995268389,1.9983510754325173,0.4300715990453461,0.3844444444444444,0.41710712470398975,0.34841175832686444,exp3_chroma_baseline
17,1.723508109950056,2.016249559142373,0.43484486873508355,0.40074074074074073,0.4219085523951978,0.36209038314001685,exp3_chroma_baseline
18,1.7112670871946547,1.9854994307864795,0.439618138424821,0.41333333333333333,0.4254088269830086,0.3793651469763723,exp3_chroma_baseline
19,1.7023941218250929,2.0192778164690193,0.43675417661097854,0.39185185185185184,0.42468236644699947,0.3596754965966526,exp3_chroma_baseline
20,1.6887302519095064,2.0108556639064443,0.44821002386634845,0.3962962962962963,0.4358428171792641,0.3589896588882162,exp3_chroma_baseline
21,1.6901592016220093,2.0285976149819116,0.45584725536992843,0.3977777777777778,0.4389036720625126,0.3619355159439766,exp3_chroma_baseline
22,1.68999488907631,2.0335776101459158,0.44248210023866347,0.4059259259259259,0.42703632790662976,0.3706507343113328,exp3_chroma_baseline
